총 주간보고 개수: 35개

[팀별 등록 현황]
- 안전.zip: 5건
- 심리지원단 파인 (PINE): 5건
- 이투스: 5건
- 우송대학교 아고라: 3건
- 세이프 리더스: 3건
- 디지털 쉼표: 3건
- safe frame: 3건
- 안전 탭앤톡 (Tap and Talk): 2건
- 청디가드: 1건
- 라이트(light): 1건
- 한라우 안전활동가: 1건
- 총괄 관리자: 1건
- 웰빙 크루: 1건
- 안심ON ('안전'과 '마음(心)'을 켜다.): 1건

[전체 보고서 목록]
[01] 안전 탭앤톡 (Tap and Talk) | 8월 5주차 | 오프라인 행사 계획 및 카드뉴스 디자인 보완 작업 계획 회의
[02] 안전.zip | 8월 5주차 | 컴퓨터는 고장 나도 팝업 행사는 직진!💻🔥 5차 숏폼 제작 및 8월 5주차 주간회의
[03] 심리지원단 파인 (PINE) | 8월 4주차 | [그림자채팅] 및 [힐링우드카빙] 프로그램 진행
[04] 우송대학교 아고라 | 8월 5주차 | 피싱스미싱 구별법
[05] 우송대학교 아고라 | 8월 5주차 | 생황안전교육
[06] 우송대학교 아고라 | 8월 5주차 | 디지털안전교육
[07] 이투스 | 8월 3주차 | 구글폼 경품 추천 및 재난안전 위험요소 발굴 지도 제작
[08] 이투스 | 8월 3주차 | ‘재난안전‘ 위험요소 발굴 지도 제작& 구글폼 경품 지급 
[09] 이투스 | 8월 3주차 | ‘재난안전‘ 위험요소 발굴 지도 제작& 구글폼 경품 지급 
[10] 세이프 리더스 | 8월 2주차 | SAFE LINK 웹앱 개발 및 안전 콘텐츠 제작 착수
[11] 세이프 리더스 | 8월 4주차 | 딥페이크 범죄 예방 카드뉴스 제작 및 안전퀴즈 웹 개발
[12] 디지털 쉼표 | 8월 3주차 | AI 마음건강 도우미 웹 및 홍보 콘텐츠 제작
[13] 안전.zip | 8월 4주차 | 너... 로그아웃 안 하고 컸어?😳4차 숏폼 제작 및 8월 4주차 주간회의
[14] 심리지원단 파인 (PINE) | 8월 3주차 | [힐링우드카빙] 프로그램 운영 사전 점검
[15] 이투스 | 8월 3주차 | 생활안전 구글폼 퀴즈 진행 및 재난안전 릴스 제작 및 업로드
[16] 안전.zip | 8월 3주차 | 잠깐, 이거 안전한 거 맞나요? 🚨3차 숏폼 제작 및 8월 3주차 주간회의
[17] safe frame | 8월 3주차 | 2026 E/S 안전숏폼 공모전 참가 영상 제작 및 편집, 응모
[18] 청디가드 | 8월 1주차 | 기획회의 및 역할 분담
[19] 라이트(light) | 8월 1주차 | 청소년 개인정보 안전 캠페인 숏폼 및 포스터 제작
[20] 안전 탭앤톡 (Tap and Talk) | 8월 2주차 | 2주차 주제에 맞는 카드뉴스 제작
[21] 한라우 안전활동가 | 8월 1주차 | 2026년 춘천 청소년의달 '청달' 스마트폰 중독 예방 안전 켐페인
[22] 이투스 | 8월 1주차 | 캠페인 제작
[23] safe frame | 8월 2주차 | 8월 8일 안전홍보단 2차 모임
[24] safe frame | 8월 1주차 | 8월 1일 안전홍보단 1차 모임 
[25] 심리지원단 파인 (PINE) | 8월 2주차 | [그림자채팅] 프로그램 홍보 및 안내
[26] 총괄 관리자 | 8월 1주차 | 11
[27] 심리지원단 파인 (PINE) | 8월 1주차 | ddd
[28] 디지털 쉼표 | 8월 2주차 | 현장 모니터링을 통한 디지털 쉼표 세부 활동 기획 및 콘텐츠 운영 준비
[29] 세이프 리더스 | 8월 1주차 | 안전 콘텐츠 기획 및 SNS 채널 구축
[30] 웰빙 크루 | 8월 1주차 | 청소년 웰빙 개념 정립 및 콘텐츠 기획 회의
[31] 안전.zip | 8월 2주차 | 청소년활동시설 점검 출동! 2차 숏폼 제작 및 8월 2주차 주간회의
[32] 안전.zip | 8월 1주차 | 디지털 인권존중 나부터 시작하기 1차 숏폼 제작 및 8월 1주차 주간회의
[33] 안심ON ('안전'과 '마음(心)'을 켜다.) | 8월 1주차 | 양천구 청소년의 날 축제, 디지털안전 캠페인 진행
[34] 디지털 쉼표 | 8월 1주차 | 디지털 쉼표 활동 기반 구축 및 운영 준비
[35] 심리지원단 파인 (PINE) | 8월 1주차 | [그림자채팅] 프로그램 운영 회의
