Total reports: 17
[1] 팀명: safe frame | 주차: 8월 3주차 | 제목: 2026 E/S 안전숏폼 공모전 참가 영상 제작 및 편집, 응모 | ID: report_1787113784370_5mhvg
[2] 팀명: 청디가드 | 주차: 8월 1주차 | 제목: 기획회의 및 역할 분담 | ID: report_1787716851628_piync
[3] 팀명: 라이트(light) | 주차: 8월 1주차 | 제목: 청소년 개인정보 안전 캠페인 숏폼 및 포스터 제작 | ID: report_1786517747239_3p2eq
[4] 팀명: 안전 탭앤톡 (Tap and Talk) | 주차: 8월 2주차 | 제목: 2주차 주제에 맞는 카드뉴스 제작 | ID: report_1786432237738_l0r55
[5] 팀명: 한라우 안전활동가 | 주차: 8월 1주차 | 제목: 2026년 춘천 청소년의달 '청달' 스마트폰 중독 예방 안전 켐페인 | ID: report_1786432020597_ccbcg
[6] 팀명: 이투스 | 주차: 8월 1주차 | 제목: 캠페인 제작 | ID: report_1786430013497_kvr15
[7] 팀명: safe frame | 주차: 8월 2주차 | 제목: 8월 8일 안전홍보단 2차 모임 | ID: report_1786413529123_f0a93
[8] 팀명: safe frame | 주차: 8월 1주차 | 제목: 8월 1일 안전홍보단 1차 모임  | ID: report_1786413250947_5718o
[9] 팀명: 심리지원단 파인 (PINE) | 주차: 8월 2주차 | 제목: [그림자채팅] 프로그램 홍보 및 안내 | ID: report_1786412138643_ye6sn
[10] 팀명: 총괄 관리자 | 주차: 8월 1주차 | 제목: 11 | ID: report_1786410375282_lwtt9
[11] 팀명: 심리지원단 파인 (PINE) | 주차: 8월 1주차 | 제목: ddd | ID: report_1786410250137_orak6
[12] 팀명: 세이프 리더스 | 주차: 8월 1주차 | 제목: 안전 콘텐츠 기획 및 SNS 채널 구축 | ID: report_1786361050408_i6g5x
[13] 팀명: 웰빙 크루 | 주차: 8월 1주차 | 제목: 청소년 웰빙 개념 정립 및 콘텐츠 기획 회의 | ID: report_1786350329512_4y6xr
[14] 팀명: 안전.zip | 주차: 8월 2주차 | 제목: 청소년활동시설 점검 출동! 2차 숏폼 제작 및 8월 2주차 주간회의 | ID: report_1786350247321_cotry
[15] 팀명: 안전.zip | 주차: 8월 1주차 | 제목: 디지털 인권존중 나부터 시작하기 1차 숏폼 제작 및 8월 1주차 주간회의 | ID: report_1786350221306_gpw12
[16] 팀명: 안심ON ('안전'과 '마음(心)'을 켜다.) | 주차: 8월 1주차 | 제목: 양천구 청소년의 날 축제, 디지털안전 캠페인 진행 | ID: report_1786594913974_4vtqi
[17] 팀명: 심리지원단 파인 (PINE) | 주차: 8월 1주차 | 제목: [그림자채팅] 프로그램 운영 회의 | ID: pine_w1_official_report
