Total reports: 23
[1] 팀명: 우송대학교 아고라 | 주차: 8월 5주차 | 제목: 피싱스미싱 구별법 | ID: report_1788164891731_9ot3d
[2] 팀명: 우송대학교 아고라 | 주차: 8월 5주차 | 제목: 생황안전교육 | ID: report_1788164621759_ncgso
[3] 팀명: 우송대학교 아고라 | 주차: 8월 5주차 | 제목: 디지털안전교육 | ID: report_1788163687205_yqwxn
[4] 팀명: 이투스 | 주차: 8월 3주차 | 제목: 구글폼 경품 추천 및 재난안전 위험요소 발굴 지도 제작 | ID: report_1788159868119_qwcax
[5] 팀명: 이투스 | 주차: 8월 3주차 | 제목: ‘재난안전‘ 위험요소 발굴 지도 제작& 구글폼 경품 지급  | ID: report_1788155736677_sb75y
[6] 팀명: 이투스 | 주차: 8월 3주차 | 제목: ‘재난안전‘ 위험요소 발굴 지도 제작& 구글폼 경품 지급  | ID: report_1788155659661_3cf7m
[7] 팀명: 세이프 리더스 | 주차: 8월 2주차 | 제목: SAFE LINK 웹앱 개발 및 안전 콘텐츠 제작 착수 | ID: report_1788149241002_tqb3s
[8] 팀명: 세이프 리더스 | 주차: 8월 4주차 | 제목: 딥페이크 범죄 예방 카드뉴스 제작 및 안전퀴즈 웹 개발 | ID: report_1788148880425_ypeos
[9] 팀명: 라이트(light) | 주차: 8월 1주차 | 제목: 청소년 개인정보 안전 캠페인 숏폼 및 포스터 제작 | ID: report_1786517747239_3p2eq
[10] 팀명: 안전 탭앤톡 (Tap and Talk) | 주차: 8월 2주차 | 제목: 2주차 주제에 맞는 카드뉴스 제작 | ID: report_1786432237738_l0r55
[11] 팀명: 한라우 안전활동가 | 주차: 8월 1주차 | 제목: 2026년 춘천 청소년의달 '청달' 스마트폰 중독 예방 안전 켐페인 | ID: report_1786432020597_ccbcg
[12] 팀명: 이투스 | 주차: 8월 1주차 | 제목: 캠페인 제작 | ID: report_1786430013497_kvr15
[13] 팀명: safe frame | 주차: 8월 2주차 | 제목: 8월 8일 안전홍보단 2차 모임 | ID: report_1786413529123_f0a93
[14] 팀명: safe frame | 주차: 8월 1주차 | 제목: 8월 1일 안전홍보단 1차 모임  | ID: report_1786413250947_5718o
[15] 팀명: 심리지원단 파인 (PINE) | 주차: 8월 2주차 | 제목: [그림자채팅] 프로그램 홍보 및 안내 | ID: report_1786412138643_ye6sn
[16] 팀명: 총괄 관리자 | 주차: 8월 1주차 | 제목: 11 | ID: report_1786410375282_lwtt9
[17] 팀명: 심리지원단 파인 (PINE) | 주차: 8월 1주차 | 제목: ddd | ID: report_1786410250137_orak6
[18] 팀명: 세이프 리더스 | 주차: 8월 1주차 | 제목: 안전 콘텐츠 기획 및 SNS 채널 구축 | ID: report_1786361050408_i6g5x
[19] 팀명: 웰빙 크루 | 주차: 8월 1주차 | 제목: 청소년 웰빙 개념 정립 및 콘텐츠 기획 회의 | ID: report_1786350329512_4y6xr
[20] 팀명: 안전.zip | 주차: 8월 2주차 | 제목: 청소년활동시설 점검 출동! 2차 숏폼 제작 및 8월 2주차 주간회의 | ID: report_1786350247321_cotry
[21] 팀명: 안전.zip | 주차: 8월 1주차 | 제목: 디지털 인권존중 나부터 시작하기 1차 숏폼 제작 및 8월 1주차 주간회의 | ID: report_1786350221306_gpw12
[22] 팀명: 안심ON ('안전'과 '마음(心)'을 켜다.) | 주차: 8월 1주차 | 제목: 양천구 청소년의 날 축제, 디지털안전 캠페인 진행 | ID: report_1786594913974_4vtqi
[23] 팀명: 심리지원단 파인 (PINE) | 주차: 8월 1주차 | 제목: [그림자채팅] 프로그램 운영 회의 | ID: pine_w1_official_report
